subjects	cluster.id
subject1	2
subject2	3
subject3	9
subject4	9
subject5	5
subject6	1
subject7	4
subject8	10
subject9	7
subject10	1
subject11	3
subject12	4
subject13	9
subject14	4
subject15	9
subject16	3
subject17	2
subject18	4
subject19	6
subject20	9
subject21	3
subject22	4
subject23	8
subject24	1
subject25	9
subject26	5
subject27	5
subject28	5
subject29	6
subject30	5
subject31	2
subject32	3
subject33	10
subject34	1
subject35	4
subject36	8
subject37	3
subject38	3
subject39	10
subject40	10
subject41	9
subject42	4
subject43	6
subject44	1
subject45	2
subject46	1
subject47	9
subject48	2
subject49	1
subject50	6
subject51	5
subject52	8
subject53	10
subject54	6
subject55	2
subject56	1
subject57	10
subject58	3
subject59	5
subject60	3
subject61	1
subject62	3
subject63	8
subject64	6
subject65	4
subject66	5
subject67	1
subject68	8
subject69	2
subject70	9
subject71	4
subject72	10
subject73	4
subject74	2
subject75	2
subject76	8
subject77	2
subject78	3
subject79	4
subject80	8
subject81	8
subject82	8
subject83	7
subject84	3
subject85	4
subject86	5
subject87	9
subject88	1
subject89	5
subject90	2
subject91	10
subject92	5
subject93	3
subject94	8
subject95	1
subject96	2
subject97	1
subject98	10
subject99	4
subject100	10
subject101	5
subject102	10
subject103	1
subject104	8
subject105	5
subject106	6
subject107	9
subject108	10
subject109	8
subject110	5
subject111	9
subject112	5
subject113	10
subject114	3
subject115	3
subject116	4
subject117	1
subject118	2
subject119	5
subject120	1
subject121	3
subject122	9
subject123	6
subject124	2
subject125	7
subject126	8
subject127	1
subject128	10
subject129	6
subject130	2
subject131	5
subject132	7
subject133	5
subject134	4
subject135	5
subject136	4
subject137	9
subject138	1
subject139	2
subject140	1
subject141	10
subject142	9
subject143	9
subject144	10
subject145	2
subject146	10
subject147	10
subject148	9
subject149	7
subject150	2
subject151	10
subject152	1
subject153	4
subject154	10
subject155	2
subject156	2
subject157	1
subject158	8
subject159	5
subject160	4
subject161	2
subject162	4
subject163	8
subject164	9
subject165	7
subject166	3
subject167	8
subject168	8
subject169	1
subject170	4
subject171	1
subject172	10
subject173	5
subject174	1
subject175	9
subject176	5
subject177	5
subject178	2
subject179	10
subject180	4
subject181	3
subject182	4
subject183	4
subject184	5
subject185	8
subject186	5
subject187	3
subject188	5
subject189	8
subject190	8
subject191	6
subject192	9
subject193	4
subject194	3
subject195	1
subject196	3
subject197	2
subject198	4
subject199	1
subject200	7
subject201	8
subject202	10
subject203	1
subject204	8
subject205	8
subject206	6
subject207	10
subject208	5
subject209	8
subject210	9
subject211	2
subject212	4
subject213	3
subject214	1
subject215	3
subject216	4
subject217	2
subject218	9
subject219	3
subject220	1
subject221	1
subject222	1
subject223	1
subject224	7
subject225	5
subject226	2
subject227	7
subject228	5
subject229	3
subject230	6
subject231	5
subject232	8
subject233	9
subject234	5
subject235	5
subject236	6
subject237	2
subject238	6
subject239	5
subject240	6
subject241	6
subject242	9
subject243	5
subject244	10
subject245	6
subject246	1
subject247	9
subject248	8
subject249	1
subject250	5
subject251	5
subject252	4
subject253	2
subject254	1
subject255	8
subject256	1
subject257	6
subject258	6
subject259	7
subject260	10
subject261	8
subject262	10
subject263	8
subject264	3
subject265	3
subject266	10
subject267	1
subject268	3
subject269	6
subject270	3
subject271	8
subject272	1
subject273	10
subject274	10
subject275	8
subject276	8
subject277	2
subject278	9
subject279	7
subject280	4
subject281	4
subject282	3
subject283	5
subject284	6
subject285	4
subject286	1
subject287	2
subject288	3
subject289	4
subject290	8
subject291	1
subject292	10
subject293	1
subject294	3
subject295	1
subject296	9
subject297	8
subject298	8
subject299	5
subject300	3
subject301	3
subject302	2
subject303	3
subject304	3
subject305	3
subject306	1
subject307	5
subject308	1
subject309	4
subject310	3
subject311	6
subject312	3
subject313	8
subject314	9
subject315	3
subject316	4
subject317	4
subject318	1
subject319	1
subject320	1
subject321	2
subject322	9
subject323	4
subject324	1
subject325	5
subject326	1
subject327	2
subject328	1
subject329	10
subject330	5
subject331	6
subject332	8
subject333	4
subject334	9
subject335	10
subject336	4
subject337	3
subject338	9
subject339	6
subject340	9
subject341	1
subject342	10
subject343	1
subject344	1
subject345	1
subject346	5
subject347	3
subject348	9
subject349	8
subject350	3
subject351	6
subject352	7
subject353	2
subject354	6
subject355	9
subject356	1
subject357	8
subject358	1
subject359	8
subject360	10
subject361	5
subject362	1
subject363	1
subject364	7
subject365	9
subject366	8
subject367	10
subject368	1
subject369	2
subject370	9
subject371	6
subject372	8
subject373	2
subject374	5
subject375	9
subject376	5
subject377	2
subject378	10
subject379	1
subject380	4
subject381	9
subject382	3
subject383	8
subject384	5
subject385	1
subject386	5
subject387	2
subject388	4
subject389	7
subject390	9
subject391	5
subject392	1
subject393	9
subject394	2
subject395	5
subject396	8
subject397	8
subject398	2
subject399	4
subject400	10
subject401	6
subject402	9
subject403	2
subject404	6
subject405	5
subject406	9
subject407	6
subject408	5
subject409	10
subject410	3
subject411	3
subject412	6
subject413	6
subject414	6
subject415	7
subject416	9
subject417	8
subject418	8
subject419	1
subject420	8
subject421	9
subject422	6
subject423	5
subject424	9
subject425	5
subject426	6
subject427	4
subject428	1
subject429	1
subject430	7
subject431	10
subject432	5
subject433	6
subject434	1
subject435	8
subject436	2
subject437	3
subject438	6
subject439	6
subject440	1
subject441	1
subject442	8
subject443	4
subject444	10
subject445	1
subject446	1
subject447	9
subject448	1
subject449	1
subject450	6
subject451	9
subject452	10
subject453	3
subject454	8
subject455	3
subject456	8
subject457	7
subject458	1
subject459	4
subject460	2
subject461	1
subject462	9
subject463	4
subject464	6
subject465	8
subject466	4
subject467	5
subject468	10
subject469	3
subject470	3
subject471	4
subject472	1
subject473	1
subject474	6
subject475	1
subject476	6
subject477	7
subject478	8
subject479	2
subject480	7
subject481	3
subject482	9
subject483	8
subject484	10
subject485	5
subject486	1
subject487	9
subject488	7
subject489	9
subject490	2
subject491	9
subject492	6
subject493	5
subject494	6
subject495	6
subject496	9
subject497	7
subject498	7
subject499	1
subject500	1
subject501	6
subject502	4
subject503	1
subject504	2
subject505	2
subject506	4
subject507	5
subject508	3
subject509	10
subject510	3
subject511	3
subject512	4
subject513	9
subject514	1
subject515	5
subject516	6
subject517	9
subject518	8
subject519	9
subject520	10
subject521	6
subject522	2
subject523	2
subject524	1
subject525	2
subject526	8
subject527	4
subject528	2
subject529	10
subject530	6
subject531	2
subject532	3
subject533	9
subject534	10
subject535	9
subject536	6
subject537	7
subject538	6
subject539	4
subject540	10
subject541	4
subject542	8
subject543	1
subject544	9
subject545	1
subject546	1
subject547	2
subject548	10
subject549	10
subject550	2
subject551	1
subject552	7
subject553	2
subject554	7
subject555	2
subject556	8
subject557	5
subject558	2
subject559	6
subject560	4
subject561	4
subject562	2
subject563	1
subject564	3
subject565	10
subject566	9
subject567	6
subject568	8
subject569	1
subject570	1
subject571	3
subject572	6
subject573	8
subject574	1
subject575	3
subject576	2
subject577	6
subject578	5
subject579	7
subject580	1
subject581	10
subject582	8
subject583	1
subject584	5
subject585	4
subject586	5
subject587	4
subject588	2
subject589	8
subject590	7
subject591	6
subject592	6
subject593	8
subject594	7
subject595	7
subject596	9
subject597	1
subject598	1
subject599	4
subject600	6
subject601	6
subject602	7
subject603	9
subject604	7
subject605	2
subject606	3
subject607	5
subject608	10
subject609	1
subject610	7
subject611	2
subject612	5
subject613	9
subject614	1
subject615	10
subject616	10
subject617	10
subject618	5
subject619	5
subject620	3
subject621	1
subject622	1
subject623	3
subject624	7
subject625	8
subject626	3
subject627	1
subject628	6
subject629	5
subject630	4
subject631	3
subject632	7
subject633	4
subject634	5
subject635	2
subject636	2
subject637	2
subject638	2
subject639	2
subject640	9
subject641	8
subject642	5
subject643	3
subject644	3
subject645	5
subject646	6
subject647	6
subject648	9
subject649	10
subject650	1
subject651	4
subject652	5
subject653	9
subject654	7
subject655	2
subject656	9
subject657	10
subject658	10
subject659	4
subject660	8
subject661	10
subject662	9
subject663	2
subject664	8
subject665	3
subject666	1
subject667	6
subject668	1
subject669	8
subject670	4
subject671	4
subject672	1
subject673	9
subject674	7
subject675	9
subject676	7
subject677	7
subject678	5
subject679	10
subject680	6
subject681	1
subject682	2
subject683	1
subject684	10
subject685	10
subject686	6
subject687	3
subject688	8
subject689	1
subject690	8
subject691	4
subject692	3
subject693	1
subject694	1
subject695	8
subject696	2
subject697	2
subject698	1
subject699	9
subject700	5
subject701	5
subject702	2
subject703	3
subject704	3
subject705	9
subject706	8
subject707	8
subject708	5
subject709	10
subject710	4
subject711	3
subject712	7
subject713	3
subject714	2
subject715	1
subject716	4
subject717	10
subject718	1
subject719	1
subject720	1
subject721	9
subject722	6
subject723	8
subject724	6
subject725	4
subject726	4
subject727	2
subject728	5
subject729	6
subject730	5
subject731	6
subject732	6
subject733	5
subject734	9
subject735	4
subject736	8
subject737	5
subject738	7
subject739	2
subject740	9
subject741	4
subject742	8
subject743	10
subject744	2
subject745	8
subject746	1
subject747	4
subject748	4
subject749	6
subject750	9
subject751	6
subject752	6
subject753	6
subject754	6
subject755	4
subject756	8
subject757	9
subject758	10
subject759	2
subject760	9
subject761	2
subject762	10
subject763	4
subject764	2
subject765	2
subject766	9
subject767	5
subject768	2
subject769	9
subject770	10
subject771	10
subject772	3
subject773	3
subject774	10
subject775	8
subject776	7
subject777	5
subject778	2
subject779	1
subject780	1
subject781	6
subject782	5
subject783	1
subject784	1
subject785	8
subject786	2
subject787	6
subject788	5
subject789	5
subject790	2
subject791	1
subject792	3
subject793	8
subject794	1
subject795	10
subject796	8
subject797	5
subject798	6
subject799	6
subject800	9
subject801	1
subject802	6
subject803	10
subject804	10
subject805	10
subject806	1
subject807	10
subject808	3
subject809	8
subject810	9
subject811	3
subject812	1
subject813	10
subject814	10
subject815	10
subject816	10
subject817	3
subject818	4
subject819	10
subject820	3
subject821	2
subject822	9
subject823	1
subject824	7
subject825	3
subject826	8
subject827	5
subject828	8
subject829	10
subject830	3
subject831	6
subject832	5
subject833	8
subject834	7
subject835	1
subject836	7
subject837	5
subject838	4
subject839	4
subject840	1
subject841	1
subject842	1
subject843	5
subject844	8
subject845	4
subject846	1
subject847	6
subject848	3
subject849	3
subject850	6
subject851	3
subject852	4
subject853	4
subject854	2
subject855	3
subject856	10
subject857	5
subject858	6
subject859	3
subject860	7
subject861	1
subject862	8
subject863	1
subject864	4
subject865	2
subject866	1
subject867	8
subject868	5
subject869	9
subject870	8
subject871	10
subject872	1
subject873	9
subject874	2
subject875	10
subject876	4
subject877	1
subject878	3
subject879	5
subject880	6
subject881	2
subject882	1
subject883	4
subject884	2
subject885	3
subject886	6
subject887	7
subject888	10
subject889	9
subject890	3
subject891	3
subject892	10
subject893	4
subject894	3
subject895	2
subject896	4
subject897	4
subject898	10
subject899	6
subject900	9
subject901	6
subject902	2
subject903	10
subject904	5
subject905	4
subject906	10
subject907	5
subject908	8
subject909	4
subject910	6
subject911	1
subject912	1
subject913	6
subject914	4
subject915	6
subject916	3
subject917	10
subject918	1
subject919	8
subject920	10
subject921	8
subject922	10
subject923	5
subject924	9
subject925	6
subject926	10
subject927	7
subject928	5
subject929	3
subject930	8
subject931	2
subject932	4
subject933	6
subject934	4
subject935	6
subject936	5
subject937	2
subject938	4
subject939	1
subject940	1
subject941	10
subject942	9
subject943	6
subject944	8
subject945	6
subject946	1
subject947	3
subject948	2
subject949	9
subject950	4
subject951	3
subject952	8
subject953	9
subject954	10
subject955	1
subject956	9
subject957	6
subject958	1
subject959	4
subject960	6
subject961	9
subject962	1
subject963	6
subject964	9
subject965	9
subject966	4
subject967	3
subject968	7
subject969	2
subject970	8
subject971	3
subject972	1
subject973	10
subject974	4
subject975	5
subject976	9
subject977	9
subject978	1
subject979	1
subject980	8
subject981	1
subject982	2
subject983	10
subject984	10
subject985	4
subject986	7
subject987	4
subject988	3
subject989	4
subject990	2
subject991	8
subject992	9
subject993	3
subject994	9
subject995	6
subject996	5
subject997	7
subject998	1
subject999	2
subject1000	9
