subjects	cluster.id
subject1	7
subject2	3
subject3	4
subject4	2
subject5	3
subject6	1
subject7	4
subject8	8
subject9	7
subject10	3
subject11	8
subject12	6
subject13	2
subject14	3
subject15	3
subject16	6
subject17	7
subject18	1
subject19	6
subject20	3
subject21	5
subject22	3
subject23	8
subject24	5
subject25	7
subject26	7
subject27	5
subject28	5
subject29	1
subject30	2
subject31	1
subject32	1
subject33	2
subject34	5
subject35	7
subject36	8
subject37	7
subject38	4
subject39	5
subject40	1
subject41	8
subject42	7
subject43	8
subject44	8
subject45	4
subject46	1
subject47	5
subject48	7
subject49	6
subject50	5
subject51	1
subject52	6
subject53	7
subject54	2
subject55	4
subject56	3
subject57	1
subject58	2
subject59	5
subject60	1
subject61	5
subject62	2
subject63	5
subject64	1
subject65	5
subject66	7
subject67	6
subject68	1
subject69	6
subject70	4
subject71	3
subject72	1
subject73	8
subject74	8
subject75	6
subject76	9
subject77	8
subject78	1
subject79	8
subject80	7
subject81	8
subject82	1
subject83	1
subject84	5
subject85	3
subject86	4
subject87	5
subject88	7
subject89	2
subject90	4
subject91	1
subject92	8
subject93	8
subject94	3
subject95	4
subject96	8
subject97	10
subject98	6
subject99	5
subject100	7
subject101	1
subject102	10
subject103	5
subject104	1
subject105	5
subject106	1
subject107	1
subject108	2
subject109	1
subject110	2
subject111	2
subject112	1
subject113	5
subject114	6
subject115	10
subject116	4
subject117	5
subject118	4
subject119	2
subject120	1
subject121	4
subject122	4
subject123	3
subject124	3
subject125	6
subject126	5
subject127	4
subject128	8
subject129	6
subject130	7
subject131	1
subject132	1
subject133	5
subject134	9
subject135	10
subject136	1
subject137	4
subject138	1
subject139	2
subject140	4
subject141	6
subject142	1
subject143	5
subject144	8
subject145	9
subject146	3
subject147	2
subject148	3
subject149	8
subject150	3
subject151	5
subject152	5
subject153	10
subject154	5
subject155	1
subject156	1
subject157	4
subject158	5
subject159	1
subject160	2
subject161	1
subject162	2
subject163	1
subject164	8
subject165	1
subject166	3
subject167	2
subject168	3
subject169	1
subject170	1
subject171	1
subject172	6
subject173	5
subject174	1
subject175	3
subject176	4
subject177	1
subject178	6
subject179	2
subject180	6
subject181	1
subject182	2
subject183	5
subject184	1
subject185	1
subject186	1
subject187	2
subject188	6
subject189	6
subject190	3
subject191	1
subject192	8
subject193	9
subject194	6
subject195	1
subject196	1
subject197	8
subject198	2
subject199	8
subject200	1
subject201	5
subject202	5
subject203	5
subject204	6
subject205	4
subject206	9
subject207	1
subject208	3
subject209	4
subject210	5
subject211	6
subject212	8
subject213	4
subject214	5
subject215	4
subject216	4
subject217	6
subject218	3
subject219	4
subject220	7
subject221	2
subject222	8
subject223	5
subject224	1
subject225	6
subject226	8
subject227	2
subject228	5
subject229	7
subject230	6
subject231	5
subject232	6
subject233	4
subject234	10
subject235	4
subject236	1
subject237	5
subject238	10
subject239	4
subject240	2
subject241	1
subject242	8
subject243	1
subject244	2
subject245	9
subject246	5
subject247	7
subject248	3
subject249	8
subject250	9
subject251	1
subject252	8
subject253	4
subject254	1
subject255	3
subject256	7
subject257	2
subject258	2
subject259	9
subject260	1
subject261	3
subject262	7
subject263	5
subject264	6
subject265	5
subject266	4
subject267	5
subject268	9
subject269	5
subject270	9
subject271	6
subject272	2
subject273	1
subject274	4
subject275	8
subject276	4
subject277	8
subject278	4
subject279	5
subject280	1
subject281	8
subject282	6
subject283	5
subject284	1
subject285	6
subject286	8
subject287	10
subject288	7
subject289	2
subject290	7
subject291	3
subject292	5
subject293	4
subject294	6
subject295	6
subject296	3
subject297	1
subject298	5
subject299	7
subject300	2
subject301	2
subject302	7
subject303	4
subject304	2
subject305	2
subject306	1
subject307	5
subject308	1
subject309	7
subject310	2
subject311	8
subject312	2
subject313	9
subject314	6
subject315	6
subject316	5
subject317	1
subject318	6
subject319	6
subject320	7
subject321	1
subject322	1
subject323	1
subject324	8
subject325	5
subject326	7
subject327	6
subject328	5
subject329	6
subject330	1
subject331	1
subject332	7
subject333	1
subject334	1
subject335	9
subject336	2
subject337	8
subject338	9
subject339	9
subject340	5
subject341	1
subject342	6
subject343	6
subject344	1
subject345	9
subject346	6
subject347	10
subject348	1
subject349	1
subject350	5
subject351	9
subject352	2
subject353	4
subject354	1
subject355	7
subject356	4
subject357	8
subject358	3
subject359	9
subject360	5
subject361	1
subject362	5
subject363	7
subject364	7
subject365	6
subject366	5
subject367	8
subject368	1
subject369	5
subject370	1
subject371	4
subject372	7
subject373	3
subject374	5
subject375	1
subject376	5
subject377	6
subject378	7
subject379	10
subject380	1
subject381	4
subject382	9
subject383	4
subject384	2
subject385	1
subject386	6
subject387	3
subject388	1
subject389	7
subject390	6
subject391	6
subject392	1
subject393	8
subject394	5
subject395	9
subject396	5
subject397	2
subject398	9
subject399	6
subject400	1
subject401	1
subject402	7
subject403	1
subject404	9
subject405	1
subject406	9
subject407	8
subject408	7
subject409	3
subject410	8
subject411	6
subject412	5
subject413	9
subject414	6
subject415	2
subject416	6
subject417	4
subject418	8
subject419	7
subject420	5
subject421	1
subject422	5
subject423	6
subject424	8
subject425	9
subject426	4
subject427	6
subject428	1
subject429	4
subject430	1
subject431	6
subject432	5
subject433	10
subject434	1
subject435	4
subject436	5
subject437	4
subject438	7
subject439	5
subject440	4
subject441	5
subject442	3
subject443	1
subject444	6
subject445	4
subject446	6
subject447	6
subject448	2
subject449	5
subject450	3
subject451	4
subject452	6
subject453	7
subject454	1
subject455	6
subject456	6
subject457	2
subject458	6
subject459	4
subject460	4
subject461	1
subject462	1
subject463	8
subject464	1
subject465	7
subject466	6
subject467	7
subject468	2
subject469	4
subject470	6
subject471	6
subject472	5
subject473	3
subject474	2
subject475	1
subject476	4
subject477	2
subject478	7
subject479	4
subject480	4
subject481	1
subject482	10
subject483	4
subject484	1
subject485	6
subject486	8
subject487	1
subject488	6
subject489	4
subject490	9
subject491	7
subject492	7
subject493	1
subject494	5
subject495	5
subject496	1
subject497	3
subject498	1
subject499	9
subject500	6
subject501	5
subject502	2
subject503	1
subject504	5
subject505	7
subject506	5
subject507	2
subject508	1
subject509	8
subject510	9
subject511	3
subject512	5
subject513	1
subject514	1
subject515	4
subject516	9
subject517	8
subject518	3
subject519	8
subject520	1
subject521	4
subject522	3
subject523	7
subject524	1
subject525	4
subject526	5
subject527	5
subject528	1
subject529	2
subject530	7
