subjects	cluster.id
subject1	1
subject2	1
subject3	2
subject4	2
subject5	1
subject6	2
subject7	2
subject8	2
subject9	5
subject10	1
subject11	2
subject12	4
subject13	1
subject14	1
subject15	4
subject16	3
subject17	3
subject18	2
subject19	1
subject20	2
subject21	4
subject22	1
subject23	5
subject24	1
subject25	2
subject26	5
subject27	5
subject28	2
subject29	2
subject30	1
subject31	4
subject32	1
subject33	4
subject34	4
subject35	3
subject36	1
subject37	1
subject38	1
subject39	2
subject40	1
subject41	2
subject42	2
subject43	2
subject44	3
subject45	2
subject46	1
subject47	1
subject48	4
subject49	3
subject50	5
subject51	1
subject52	5
subject53	1
subject54	3
subject55	5
subject56	5
subject57	4
subject58	5
subject59	3
subject60	1
subject61	5
subject62	1
subject63	5
subject64	5
subject65	1
subject66	1
subject67	2
subject68	5
subject69	5
subject70	1
subject71	4
subject72	5
subject73	1
subject74	3
subject75	3
subject76	4
subject77	3
subject78	1
subject79	1
subject80	4
subject81	2
subject82	1
subject83	2
subject84	3
subject85	4
subject86	1
subject87	3
subject88	1
subject89	4
subject90	1
subject91	2
subject92	4
subject93	5
subject94	2
subject95	5
subject96	1
subject97	5
subject98	4
subject99	3
subject100	3
subject101	4
subject102	4
subject103	4
subject104	2
subject105	2
subject106	2
subject107	3
subject108	5
subject109	5
subject110	3
subject111	3
subject112	1
subject113	3
subject114	3
subject115	4
subject116	4
subject117	3
subject118	3
subject119	1
subject120	4
subject121	3
subject122	3
subject123	3
subject124	4
subject125	3
subject126	5
subject127	3
subject128	3
subject129	2
subject130	2
subject131	1
subject132	3
subject133	3
subject134	1
subject135	1
subject136	5
subject137	5
subject138	2
subject139	5
subject140	3
subject141	2
subject142	4
subject143	4
subject144	4
subject145	1
subject146	5
subject147	5
subject148	3
subject149	3
subject150	1
subject151	2
subject152	4
subject153	3
subject154	2
subject155	3
subject156	3
subject157	3
subject158	4
subject159	2
subject160	1
subject161	3
subject162	3
subject163	3
subject164	1
subject165	2
subject166	2
subject167	1
subject168	4
subject169	5
subject170	4
subject171	4
subject172	2
subject173	2
subject174	4
subject175	2
subject176	4
subject177	5
subject178	2
subject179	4
subject180	3
subject181	1
subject182	2
subject183	1
subject184	1
subject185	3
subject186	4
subject187	5
subject188	3
subject189	5
subject190	2
subject191	4
subject192	4
subject193	4
subject194	1
subject195	2
subject196	3
subject197	1
subject198	1
subject199	3
subject200	4
subject201	1
subject202	2
subject203	2
subject204	1
subject205	2
subject206	1
subject207	1
subject208	3
subject209	5
subject210	1
subject211	2
subject212	3
subject213	2
subject214	5
subject215	1
subject216	5
subject217	4
subject218	3
subject219	3
subject220	5
