subjects	cluster.id
subject1	5
subject2	4
subject3	1
subject4	5
subject5	3
subject6	5
subject7	5
subject8	1
subject9	3
subject10	1
subject11	4
subject12	3
subject13	5
subject14	1
subject15	3
subject16	5
subject17	2
subject18	5
subject19	2
subject20	5
subject21	1
subject22	1
subject23	2
subject24	2
subject25	5
subject26	1
subject27	5
subject28	2
subject29	2
subject30	4
subject31	4
subject32	3
subject33	3
subject34	5
subject35	1
subject36	1
subject37	4
subject38	3
subject39	1
subject40	1
subject41	4
subject42	1
subject43	1
subject44	2
subject45	5
subject46	1
subject47	1
subject48	5
subject49	3
subject50	2
subject51	3
subject52	4
subject53	1
subject54	2
subject55	3
subject56	5
subject57	2
subject58	1
subject59	5
subject60	2
subject61	2
subject62	1
subject63	1
subject64	1
subject65	1
subject66	1
subject67	1
subject68	1
subject69	3
subject70	1
subject71	5
subject72	2
subject73	5
subject74	4
subject75	5
subject76	2
subject77	5
subject78	2
subject79	3
subject80	5
subject81	1
subject82	3
subject83	4
subject84	1
subject85	1
subject86	5
subject87	1
subject88	3
subject89	3
subject90	1
subject91	1
subject92	2
subject93	5
subject94	1
subject95	3
subject96	4
subject97	3
subject98	5
subject99	1
subject100	2
subject101	3
subject102	5
subject103	1
subject104	2
subject105	5
subject106	3
subject107	1
subject108	4
subject109	1
subject110	4
subject111	3
subject112	5
subject113	5
subject114	3
subject115	1
subject116	3
subject117	4
subject118	1
subject119	3
subject120	3
subject121	1
subject122	1
subject123	3
subject124	3
subject125	1
subject126	2
subject127	3
subject128	5
subject129	3
subject130	5
subject131	1
subject132	1
subject133	1
subject134	1
subject135	2
subject136	1
subject137	3
subject138	1
subject139	3
subject140	5
subject141	4
subject142	1
subject143	5
subject144	1
subject145	3
subject146	1
subject147	2
subject148	1
subject149	5
subject150	3
subject151	2
subject152	1
subject153	3
subject154	1
subject155	5
subject156	1
subject157	1
subject158	2
subject159	1
subject160	1
subject161	3
subject162	5
subject163	5
subject164	3
subject165	4
subject166	2
subject167	1
subject168	5
subject169	1
subject170	5
subject171	5
subject172	1
subject173	1
subject174	5
subject175	5
subject176	1
subject177	2
subject178	1
subject179	5
subject180	5
subject181	1
subject182	1
subject183	1
subject184	2
subject185	3
subject186	1
subject187	5
subject188	5
subject189	3
subject190	1
subject191	1
subject192	4
subject193	5
subject194	2
subject195	5
subject196	2
subject197	2
subject198	1
subject199	2
subject200	3
subject201	3
subject202	3
subject203	5
subject204	3
subject205	1
subject206	2
subject207	3
subject208	1
subject209	3
subject210	5
subject211	3
subject212	5
subject213	5
subject214	4
subject215	5
subject216	2
subject217	3
subject218	2
subject219	5
subject220	2
subject221	1
subject222	4
subject223	1
subject224	3
subject225	1
subject226	1
subject227	1
subject228	2
subject229	5
subject230	1
subject231	1
subject232	3
subject233	2
subject234	2
subject235	5
subject236	5
subject237	2
subject238	3
subject239	1
subject240	3
subject241	3
subject242	1
subject243	1
subject244	1
subject245	3
subject246	3
subject247	1
subject248	2
subject249	3
subject250	3
subject251	3
subject252	2
subject253	5
subject254	2
subject255	2
subject256	3
subject257	1
subject258	3
subject259	5
subject260	3
subject261	1
subject262	1
subject263	1
subject264	1
subject265	2
subject266	3
subject267	4
subject268	1
subject269	1
subject270	3
subject271	2
subject272	1
subject273	4
subject274	3
subject275	1
subject276	1
subject277	3
subject278	5
subject279	3
subject280	3
subject281	1
subject282	3
subject283	3
subject284	5
subject285	5
subject286	1
subject287	4
subject288	1
subject289	1
subject290	5
subject291	1
subject292	1
subject293	3
subject294	1
subject295	5
subject296	5
subject297	1
subject298	1
subject299	4
subject300	4
subject301	1
subject302	3
subject303	5
subject304	1
subject305	3
