subjects	cluster.id
143	subject143	2
7162	subject7162	6
6707	subject6707	1
2290	subject2290	6
598	subject598	3
7185	subject7185	4
210	subject210	1
6508	subject6508	8
5011	subject5011	7
7305	subject7305	1
2415	subject2415	9
1431	subject1431	1
4229	subject4229	5
1001	subject1001	2
6563	subject6563	1
7705	subject7705	5
3182	subject3182	4
3375	subject3375	7
340	subject340	8
9634	subject9634	5
6921	subject6921	2
1158	subject1158	5
4774	subject4774	1
4281	subject4281	5
3871	subject3871	10
6293	subject6293	8
3425	subject3425	10
3144	subject3144	3
3754	subject3754	2
6318	subject6318	8
7324	subject7324	2
4051	subject4051	10
8758	subject8758	2
462	subject462	8
9824	subject9824	4
7709	subject7709	5
8246	subject8246	5
3873	subject3873	5
5957	subject5957	5
2068	subject2068	5
7661	subject7661	1
5003	subject5003	4
8794	subject8794	7
670	subject670	6
8648	subject8648	2
455	subject455	1
6403	subject6403	4
4703	subject4703	6
5803	subject5803	10
1072	subject1072	4
6223	subject6223	4
2530	subject2530	6
3110	subject3110	6
8797	subject8797	6
7345	subject7345	2
4544	subject4544	3
3784	subject3784	2
8176	subject8176	7
9689	subject9689	5
3402	subject3402	6
9415	subject9415	5
3618	subject3618	1
2102	subject2102	1
7977	subject7977	5
8319	subject8319	10
7477	subject7477	10
6451	subject6451	8
7873	subject7873	3
3487	subject3487	3
8506	subject8506	2
4647	subject4647	1
2740	subject2740	9
9897	subject9897	2
2676	subject2676	10
1988	subject1988	8
1073	subject1073	1
1338	subject1338	9
9728	subject9728	2
2176	subject2176	6
535	subject535	6
7739	subject7739	1
2493	subject2493	1
5570	subject5570	10
4599	subject4599	9
847	subject847	2
9896	subject9896	1
2241	subject2241	7
9665	subject9665	3
8903	subject8903	8
1449	subject1449	3
728	subject728	9
5191	subject5191	2
5024	subject5024	9
6058	subject6058	10
2936	subject2936	10
9517	subject9517	10
810	subject810	6
3197	subject3197	1
9388	subject9388	8
7194	subject7194	1
1175	subject1175	1
3104	subject3104	8
1932	subject1932	3
4643	subject4643	10
5173	subject5173	7
5724	subject5724	5
1611	subject1611	3
5172	subject5172	1
9596	subject9596	3
5916	subject5916	1
4645	subject4645	9
5684	subject5684	9
9179	subject9179	5
8075	subject8075	4
4491	subject4491	2
9036	subject9036	2
1912	subject1912	5
9821	subject9821	2
6211	subject6211	6
8123	subject8123	4
