subjects	cluster.id
3580	subject3580	1
1233	subject1233	12
5503	subject5503	11
6232	subject6232	12
9113	subject9113	9
3891	subject3891	2
9056	subject9056	12
5336	subject5336	1
8055	subject8055	1
4798	subject4798	2
5504	subject5504	10
170	subject170	1
5145	subject5145	1
3685	subject3685	12
8591	subject8591	12
4875	subject4875	12
984	subject984	4
9124	subject9124	7
284	subject284	12
7571	subject7571	1
9362	subject9362	6
7060	subject7060	8
33	subject33	15
7985	subject7985	3
5647	subject5647	4
7780	subject7780	12
569	subject569	4
6017	subject6017	12
5491	subject5491	11
1159	subject1159	12
7796	subject7796	11
4282	subject4282	9
3597	subject3597	3
1060	subject1060	4
2202	subject2202	12
8284	subject8284	12
629	subject629	7
4029	subject4029	11
2188	subject2188	2
4247	subject4247	9
2378	subject2378	7
4930	subject4930	9
6920	subject6920	2
844	subject844	8
1905	subject1905	1
1148	subject1148	7
306	subject306	5
9867	subject9867	10
8960	subject8960	7
3324	subject3324	13
7049	subject7049	9
5123	subject5123	7
5481	subject5481	1
2251	subject2251	9
8620	subject8620	13
7333	subject7333	2
4196	subject4196	2
2671	subject2671	5
1042	subject1042	2
2820	subject2820	12
8024	subject8024	5
5435	subject5435	12
2818	subject2818	1
6142	subject6142	2
9755	subject9755	5
4037	subject4037	11
6400	subject6400	12
9129	subject9129	2
1692	subject1692	11
4401	subject4401	2
3558	subject3558	1
4771	subject4771	5
692	subject692	12
3548	subject3548	12
4438	subject4438	7
9806	subject9806	7
9858	subject9858	1
3637	subject3637	11
7322	subject7322	12
4593	subject4593	9
5905	subject5905	7
9642	subject9642	8
372	subject372	5
7066	subject7066	12
6417	subject6417	5
8256	subject8256	8
7020	subject7020	12
7029	subject7029	11
4362	subject4362	11
6944	subject6944	9
6992	subject6992	7
1183	subject1183	12
3705	subject3705	8
9049	subject9049	14
2650	subject2650	5
1366	subject1366	9
373	subject373	13
6764	subject6764	12
1186	subject1186	1
4442	subject4442	12
2119	subject2119	6
3340	subject3340	6
9977	subject9977	9
8911	subject8911	5
616	subject616	10
7599	subject7599	12
3209	subject3209	12
6857	subject6857	7
370	subject370	12
2134	subject2134	5
919	subject919	1
9007	subject9007	13
9399	subject9399	15
6072	subject6072	12
5085	subject5085	1
7002	subject7002	13
1930	subject1930	15
3356	subject3356	15
4604	subject4604	11
8172	subject8172	5
9293	subject9293	6
2604	subject2604	1
4530	subject4530	10
5117	subject5117	12
7640	subject7640	11
6247	subject6247	12
7134	subject7134	12
1279	subject1279	12
4675	subject4675	14
2351	subject2351	1
6928	subject6928	7
6320	subject6320	12
4436	subject4436	12
5437	subject5437	5
8528	subject8528	2
3793	subject3793	12
6855	subject6855	11
4357	subject4357	9
7853	subject7853	5
9386	subject9386	7
3122	subject3122	1
768	subject768	3
2023	subject2023	15
4517	subject4517	5
8624	subject8624	4
2070	subject2070	5
929	subject929	14
4669	subject4669	11
223	subject223	2
4202	subject4202	15
1379	subject1379	12
3931	subject3931	12
968	subject968	8
3775	subject3775	8
2685	subject2685	7
6800	subject6800	2
1116	subject1116	12
294	subject294	11
6448	subject6448	5
6963	subject6963	13
4004	subject4004	5
7225	subject7225	1
3114	subject3114	9
2135	subject2135	6
9919	subject9919	7
3011	subject3011	7
6276	subject6276	9
6592	subject6592	1
3482	subject3482	9
7519	subject7519	12
8571	subject8571	12
9403	subject9403	3
1355	subject1355	4
4134	subject4134	11
4572	subject4572	12
7148	subject7148	15
3985	subject3985	1
2065	subject2065	1
3038	subject3038	3
6699	subject6699	11
6028	subject6028	1
41	subject41	11
6765	subject6765	7
7579	subject7579	2
1726	subject1726	9
2226	subject2226	14
5948	subject5948	12
5916	subject5916	3
8593	subject8593	11
806	subject806	12
1458	subject1458	1
2824	subject2824	12
7919	subject7919	12
7890	subject7890	15
980	subject980	4
8186	subject8186	2
8899	subject8899	9
9948	subject9948	7
6008	subject6008	12
5596	subject5596	9
6475	subject6475	2
7067	subject7067	1
1818	subject1818	3
8222	subject8222	3
9743	subject9743	12
3724	subject3724	4
4633	subject4633	1
78	subject78	11
9154	subject9154	12
6344	subject6344	12
683	subject683	12
6739	subject6739	7
6607	subject6607	12
6474	subject6474	7
7051	subject7051	2
7100	subject7100	9
4777	subject4777	12
2541	subject2541	11
7991	subject7991	1
1147	subject1147	11
2074	subject2074	10
5164	subject5164	5
1563	subject1563	6
774	subject774	9
4103	subject4103	11
4656	subject4656	7
5772	subject5772	11
5137	subject5137	5
6496	subject6496	12
4729	subject4729	9
6199	subject6199	5
7360	subject7360	11
3244	subject3244	7
1424	subject1424	4
6390	subject6390	2
268	subject268	5
149	subject149	5
3725	subject3725	2
637	subject637	11
9823	subject9823	7
6946	subject6946	1
6035	subject6035	8
4568	subject4568	2
516	subject516	5
4072	subject4072	9
6985	subject6985	5
2662	subject2662	5
5417	subject5417	12
566	subject566	2
6858	subject6858	8
3542	subject3542	10
4430	subject4430	6
5869	subject5869	15
8489	subject8489	12
2258	subject2258	12
7402	subject7402	6
2795	subject2795	6
9565	subject9565	11
8493	subject8493	7
5126	subject5126	12
3884	subject3884	12
9697	subject9697	7
5226	subject5226	3
4011	subject4011	13
5929	subject5929	1
6637	subject6637	12
9232	subject9232	5
3347	subject3347	9
1624	subject1624	10
6624	subject6624	1
6167	subject6167	5
4233	subject4233	12
4822	subject4822	5
7805	subject7805	12
307	subject307	5
3521	subject3521	12
8575	subject8575	12
431	subject431	13
2808	subject2808	3
9880	subject9880	1
3424	subject3424	9
1149	subject1149	5
3796	subject3796	1
496	subject496	11
978	subject978	10
1151	subject1151	12
4648	subject4648	12
7880	subject7880	1
9294	subject9294	12
9249	subject9249	12
6415	subject6415	6
7137	subject7137	7
6594	subject6594	11
9401	subject9401	1
6634	subject6634	2
4922	subject4922	3
3692	subject3692	7
1089	subject1089	9
318	subject318	2
4790	subject4790	5
434	subject434	15
549	subject549	5
2767	subject2767	11
1626	subject1626	11
6770	subject6770	5
561	subject561	5
3438	subject3438	3
8875	subject8875	14
6526	subject6526	3
2765	subject2765	11
5016	subject5016	11
5166	subject5166	15
8514	subject8514	5
2262	subject2262	11
7740	subject7740	7
5836	subject5836	5
4861	subject4861	12
330	subject330	7
8011	subject8011	1
4249	subject4249	12
4501	subject4501	6
9206	subject9206	1
6249	subject6249	7
5353	subject5353	15
245	subject245	5
2646	subject2646	9
2660	subject2660	12
8178	subject8178	12
4596	subject4596	5
1959	subject1959	2
6766	subject6766	6
399	subject399	12
3370	subject3370	1
6161	subject6161	3
2324	subject2324	11
4158	subject4158	6
2865	subject2865	2
1610	subject1610	1
8582	subject8582	1
6158	subject6158	12
1782	subject1782	11
9591	subject9591	11
5995	subject5995	2
7498	subject7498	12
4736	subject4736	15
152	subject152	8
7684	subject7684	2
1761	subject1761	12
8134	subject8134	5
9109	subject9109	12
5959	subject5959	1
331	subject331	1
3064	subject3064	11
332	subject332	1
5051	subject5051	12
4914	subject4914	12
9522	subject9522	9
7272	subject7272	11
9089	subject9089	13
3867	subject3867	12
3311	subject3311	2
3803	subject3803	12
9590	subject9590	9
624	subject624	5
935	subject935	14
4684	subject4684	12
7126	subject7126	14
5338	subject5338	1
8415	subject8415	2
8066	subject8066	2
8147	subject8147	7
5384	subject5384	8
5789	subject5789	12
6824	subject6824	10
5028	subject5028	3
1437	subject1437	7
6181	subject6181	5
1092	subject1092	12
2507	subject2507	12
7346	subject7346	6
6870	subject6870	11
8320	subject8320	7
5199	subject5199	5
3373	subject3373	2
6432	subject6432	5
1538	subject1538	4
4459	subject4459	11
2683	subject2683	12
845	subject845	11
466	subject466	11
5355	subject5355	12
6455	subject6455	1
9185	subject9185	2
8801	subject8801	11
3381	subject3381	7
9046	subject9046	6
8970	subject8970	12
691	subject691	12
2542	subject2542	12
329	subject329	7
7572	subject7572	5
4788	subject4788	7
4413	subject4413	12
2963	subject2963	6
2444	subject2444	5
185	subject185	7
6518	subject6518	5
6885	subject6885	2
2063	subject2063	5
1990	subject1990	6
8588	subject8588	12
4079	subject4079	1
1056	subject1056	12
3005	subject3005	12
7092	subject7092	2
864	subject864	7
8362	subject8362	12
8455	subject8455	11
9507	subject9507	10
8126	subject8126	5
1576	subject1576	9
6477	subject6477	12
6646	subject6646	7
7438	subject7438	11
9790	subject9790	12
4424	subject4424	13
2934	subject2934	5
3345	subject3345	11
9820	subject9820	12
7289	subject7289	11
4100	subject4100	11
3696	subject3696	9
3240	subject3240	7
3555	subject3555	11
9235	subject9235	12
4937	subject4937	9
7339	subject7339	13
5693	subject5693	11
1743	subject1743	4
7484	subject7484	7
918	subject918	11
3463	subject3463	7
1906	subject1906	15
3273	subject3273	9
313	subject313	7
4674	subject4674	9
2009	subject2009	12
4728	subject4728	7
8890	subject8890	7
5039	subject5039	11
5420	subject5420	11
3944	subject3944	8
6710	subject6710	1
9198	subject9198	1
8871	subject8871	13
3052	subject3052	1
3537	subject3537	7
2465	subject2465	11
9612	subject9612	7
9808	subject9808	7
7404	subject7404	5
4384	subject4384	3
1176	subject1176	11
7123	subject7123	5
3735	subject3735	11
1489	subject1489	8
9856	subject9856	11
3253	subject3253	13
2743	subject2743	12
3259	subject3259	7
6012	subject6012	5
181	subject181	5
6949	subject6949	6
6076	subject6076	7
7700	subject7700	12
1937	subject1937	12
5674	subject5674	13
7499	subject7499	12
1140	subject1140	12
3360	subject3360	2
2559	subject2559	3
2393	subject2393	5
3468	subject3468	7
7813	subject7813	1
243	subject243	7
5162	subject5162	11
1052	subject1052	5
2404	subject2404	3
5655	subject5655	7
7790	subject7790	12
9780	subject9780	9
6361	subject6361	8
1258	subject1258	2
7199	subject7199	12
8610	subject8610	12
9909	subject9909	2
9166	subject9166	1
4367	subject4367	15
4981	subject4981	13
4057	subject4057	1
9502	subject9502	11
1332	subject1332	15
5908	subject5908	13
5241	subject5241	11
8368	subject8368	15
775	subject775	5
9922	subject9922	12
2984	subject2984	1
2390	subject2390	5
9408	subject9408	12
3461	subject3461	1
7596	subject7596	6
160	subject160	11
1438	subject1438	1
4145	subject4145	12
1904	subject1904	2
3196	subject3196	2
5031	subject5031	3
2044	subject2044	7
5992	subject5992	15
7135	subject7135	12
395	subject395	11
1656	subject1656	2
2521	subject2521	12
3103	subject3103	12
5462	subject5462	15
6090	subject6090	3
4458	subject4458	9
6890	subject6890	11
1167	subject1167	5
7988	subject7988	2
9190	subject9190	7
9635	subject9635	11
7082	subject7082	15
1601	subject1601	12
250	subject250	1
8352	subject8352	12
232	subject232	11
3721	subject3721	5
4751	subject4751	5
7911	subject7911	5
7059	subject7059	4
6544	subject6544	1
3111	subject3111	5
6425	subject6425	12
1642	subject1642	12
1403	subject1403	5
534	subject534	5
7543	subject7543	2
390	subject390	1
5324	subject5324	13
6927	subject6927	1
1536	subject1536	1
9310	subject9310	11
8563	subject8563	12
2823	subject2823	7
869	subject869	11
8170	subject8170	11
3230	subject3230	1
8133	subject8133	2
7663	subject7663	12
8474	subject8474	2
4473	subject4473	11
848	subject848	7
9138	subject9138	12
1225	subject1225	14
9969	subject9969	2
7749	subject7749	2
1154	subject1154	12
8466	subject8466	14
8994	subject8994	2
8278	subject8278	1
4135	subject4135	3
7257	subject7257	12
485	subject485	5
430	subject430	1
3629	subject3629	12
6296	subject6296	11
2813	subject2813	5
6310	subject6310	2
8775	subject8775	7
7448	subject7448	9
3465	subject3465	12
2183	subject2183	8
8188	subject8188	2
8174	subject8174	9
4285	subject4285	7
8774	subject8774	1
8036	subject8036	1
8430	subject8430	4
5038	subject5038	4
7465	subject7465	3
9466	subject9466	7
3404	subject3404	5
2512	subject2512	8
