subjects	cluster.id
3000	subject3000	4
5401	subject5401	3
1012	subject1012	4
4744	subject4744	2
443	subject443	1
4158	subject4158	3
371	subject371	1
2842	subject2842	5
5493	subject5493	1
597	subject597	3
2023	subject2023	4
2966	subject2966	3
2326	subject2326	3
4530	subject4530	3
8370	subject8370	3
1144	subject1144	1
9270	subject9270	2
8163	subject8163	1
6162	subject6162	1
3342	subject3342	4
9108	subject9108	1
3576	subject3576	1
356	subject356	2
9546	subject9546	5
4159	subject4159	3
1997	subject1997	5
3349	subject3349	5
6199	subject6199	2
9768	subject9768	3
3586	subject3586	3
2524	subject2524	4
9008	subject9008	5
9682	subject9682	3
7833	subject7833	1
3656	subject3656	2
747	subject747	5
7080	subject7080	1
1865	subject1865	5
3747	subject3747	5
5826	subject5826	2
3184	subject3184	3
9693	subject9693	3
3526	subject3526	3
5188	subject5188	5
450	subject450	2
5547	subject5547	3
5972	subject5972	1
5205	subject5205	4
6871	subject6871	4
5294	subject5294	1
1260	subject1260	3
2526	subject2526	1
4398	subject4398	3
287	subject287	1
1412	subject1412	2
5756	subject5756	4
7445	subject7445	3
6953	subject6953	2
1092	subject1092	2
1433	subject1433	3
8672	subject8672	1
1071	subject1071	4
70	subject70	5
2889	subject2889	4
956	subject956	1
5581	subject5581	3
3891	subject3891	5
7135	subject7135	1
9675	subject9675	5
6580	subject6580	2
2964	subject2964	4
7152	subject7152	2
8628	subject8628	1
8659	subject8659	5
5942	subject5942	2
8252	subject8252	1
5664	subject5664	1
1055	subject1055	4
7134	subject7134	2
7834	subject7834	3
944	subject944	2
3719	subject3719	3
7094	subject7094	5
4122	subject4122	2
309	subject309	1
7877	subject7877	1
2730	subject2730	4
3590	subject3590	4
7588	subject7588	3
2238	subject2238	2
7798	subject7798	3
5113	subject5113	4
8998	subject8998	1
5592	subject5592	4
7893	subject7893	2
9033	subject9033	2
3515	subject3515	3
7923	subject7923	3
6039	subject6039	3
6201	subject6201	1
9368	subject9368	3
