subjects	cluster.id
4556	subject4556	11
4752	subject4752	11
8829	subject8829	5
4466	subject4466	2
4800	subject4800	12
2181	subject2181	5
5663	subject5663	13
1525	subject1525	2
9342	subject9342	12
3153	subject3153	12
4077	subject4077	15
5789	subject5789	12
7079	subject7079	15
2080	subject2080	12
199	subject199	15
1115	subject1115	1
5379	subject5379	5
2736	subject2736	9
6835	subject6835	8
9811	subject9811	6
4200	subject4200	12
9793	subject9793	1
8745	subject8745	12
6054	subject6054	5
9767	subject9767	2
9688	subject9688	7
2685	subject2685	7
9177	subject9177	15
3453	subject3453	15
7819	subject7819	12
8243	subject8243	9
2763	subject2763	12
8497	subject8497	8
2694	subject2694	13
5731	subject5731	9
7375	subject7375	5
1083	subject1083	12
8678	subject8678	12
8232	subject8232	12
4094	subject4094	7
8179	subject8179	12
4142	subject4142	7
9398	subject9398	12
1367	subject1367	1
4422	subject4422	8
9207	subject9207	12
8287	subject8287	7
7110	subject7110	3
7813	subject7813	1
9748	subject9748	15
5645	subject5645	3
7577	subject7577	8
7488	subject7488	1
5278	subject5278	7
744	subject744	12
4612	subject4612	9
5436	subject5436	7
6565	subject6565	12
3504	subject3504	5
7470	subject7470	6
2811	subject2811	5
173	subject173	1
1464	subject1464	9
2756	subject2756	7
3009	subject3009	7
7489	subject7489	8
8403	subject8403	7
2443	subject2443	2
3052	subject3052	1
5770	subject5770	2
7269	subject7269	5
1672	subject1672	1
1192	subject1192	7
975	subject975	6
7017	subject7017	12
629	subject629	7
7848	subject7848	12
3576	subject3576	11
1092	subject1092	12
7957	subject7957	1
469	subject469	12
8786	subject8786	13
3380	subject3380	11
7063	subject7063	8
701	subject701	12
7962	subject7962	2
4724	subject4724	11
7308	subject7308	5
9586	subject9586	11
8758	subject8758	1
2692	subject2692	5
9379	subject9379	7
8283	subject8283	9
7372	subject7372	5
8989	subject8989	7
2815	subject2815	5
7486	subject7486	5
4619	subject4619	12
8205	subject8205	9
3367	subject3367	11
6922	subject6922	7
5930	subject5930	12
7316	subject7316	11
897	subject897	6
8513	subject8513	11
1474	subject1474	11
2284	subject2284	7
343	subject343	12
3691	subject3691	2
3627	subject3627	9
932	subject932	2
5356	subject5356	13
9557	subject9557	7
2883	subject2883	8
743	subject743	5
7804	subject7804	5
5820	subject5820	11
218	subject218	7
3220	subject3220	12
3657	subject3657	10
2456	subject2456	8
4715	subject4715	12
4346	subject4346	12
5772	subject5772	11
8393	subject8393	1
217	subject217	5
5332	subject5332	11
2732	subject2732	12
543	subject543	12
1916	subject1916	15
9628	subject9628	4
316	subject316	12
5367	subject5367	2
2121	subject2121	12
3995	subject3995	12
6850	subject6850	9
47	subject47	4
8008	subject8008	12
2183	subject2183	8
6290	subject6290	11
8766	subject8766	1
6836	subject6836	5
1685	subject1685	11
1958	subject1958	7
697	subject697	7
9959	subject9959	14
8628	subject8628	1
1949	subject1949	8
7212	subject7212	4
8800	subject8800	2
2525	subject2525	12
375	subject375	3
8111	subject8111	9
8718	subject8718	13
3692	subject3692	7
1072	subject1072	11
4019	subject4019	2
4005	subject4005	15
5904	subject5904	12
440	subject440	12
3376	subject3376	8
3506	subject3506	2
5975	subject5975	15
8018	subject8018	4
8110	subject8110	3
4803	subject4803	11
9993	subject9993	9
783	subject783	1
6612	subject6612	11
126	subject126	7
6185	subject6185	12
1303	subject1303	1
7491	subject7491	11
1270	subject1270	11
6567	subject6567	12
945	subject945	12
1968	subject1968	3
5181	subject5181	5
3449	subject3449	11
416	subject416	12
7625	subject7625	2
7344	subject7344	11
2856	subject2856	12
3051	subject3051	15
5051	subject5051	12
4746	subject4746	12
4608	subject4608	12
3394	subject3394	5
2531	subject2531	12
7427	subject7427	2
1762	subject1762	13
8000	subject8000	1
2019	subject2019	12
4550	subject4550	11
9771	subject9771	11
1557	subject1557	15
1746	subject1746	10
3942	subject3942	7
8909	subject8909	5
9396	subject9396	2
4154	subject4154	7
4898	subject4898	12
3481	subject3481	9
5837	subject5837	2
4692	subject4692	12
7292	subject7292	10
7181	subject7181	7
8570	subject8570	14
7082	subject7082	15
4189	subject4189	1
8289	subject8289	7
687	subject687	9
4023	subject4023	10
5328	subject5328	12
2670	subject2670	7
7137	subject7137	7
3018	subject3018	5
3209	subject3209	12
5371	subject5371	5
255	subject255	7
1492	subject1492	12
7320	subject7320	5
6034	subject6034	6
8195	subject8195	7
6414	subject6414	5
7035	subject7035	11
1421	subject1421	2
7484	subject7484	7
4084	subject4084	2
2944	subject2944	7
3864	subject3864	7
4182	subject4182	2
6276	subject6276	9
3331	subject3331	5
5897	subject5897	2
3786	subject3786	2
7406	subject7406	1
5504	subject5504	10
2127	subject2127	2
8555	subject8555	1
6693	subject6693	5
9835	subject9835	15
4236	subject4236	4
1843	subject1843	1
8927	subject8927	14
7616	subject7616	11
4204	subject4204	12
1499	subject1499	7
702	subject702	12
6012	subject6012	5
8804	subject8804	11
5250	subject5250	3
4459	subject4459	11
4577	subject4577	5
504	subject504	12
8960	subject8960	7
5728	subject5728	7
1875	subject1875	7
3638	subject3638	1
5844	subject5844	7
2276	subject2276	12
5594	subject5594	9
5131	subject5131	12
8198	subject8198	7
9289	subject9289	12
1059	subject1059	1
5287	subject5287	14
7273	subject7273	12
9077	subject9077	12
5188	subject5188	1
4578	subject4578	7
5296	subject5296	5
5377	subject5377	5
7839	subject7839	12
8185	subject8185	10
4173	subject4173	5
6916	subject6916	2
4335	subject4335	2
2106	subject2106	11
144	subject144	5
8882	subject8882	11
1974	subject1974	5
5038	subject5038	4
9918	subject9918	2
8565	subject8565	3
2714	subject2714	5
3715	subject3715	12
4069	subject4069	4
4417	subject4417	3
138	subject138	7
4471	subject4471	1
551	subject551	5
3066	subject3066	12
3659	subject3659	4
6868	subject6868	8
452	subject452	7
4756	subject4756	6
7680	subject7680	9
4883	subject4883	5
5215	subject5215	7
4083	subject4083	10
6842	subject6842	9
1985	subject1985	2
3334	subject3334	3
8341	subject8341	5
3540	subject3540	11
6625	subject6625	1
6673	subject6673	1
1833	subject1833	7
9618	subject9618	9
9223	subject9223	1
8490	subject8490	12
5638	subject5638	1
5282	subject5282	6
4726	subject4726	1
9134	subject9134	11
7054	subject7054	15
1604	subject1604	12
3193	subject3193	7
6682	subject6682	2
8064	subject8064	1
4672	subject4672	12
6424	subject6424	2
7925	subject7925	1
3913	subject3913	5
6028	subject6028	1
