subjects	cluster.id
3795	subject3795	2
8593	subject8593	5
1426	subject1426	1
7857	subject7857	4
9	subject9	1
9684	subject9684	1
1384	subject1384	2
1638	subject1638	1
3937	subject3937	4
1747	subject1747	3
2530	subject2530	1
7013	subject7013	4
3306	subject3306	5
4696	subject4696	1
4977	subject4977	4
9991	subject9991	5
5988	subject5988	1
7416	subject7416	5
3674	subject3674	1
5336	subject5336	2
4096	subject4096	5
7935	subject7935	1
5554	subject5554	5
5030	subject5030	1
4128	subject4128	5
2998	subject2998	5
6774	subject6774	5
9598	subject9598	5
317	subject317	3
635	subject635	1
2887	subject2887	3
3312	subject3312	1
9067	subject9067	5
1327	subject1327	1
5416	subject5416	4
1105	subject1105	2
6332	subject6332	5
7796	subject7796	3
3007	subject3007	1
2808	subject2808	5
7567	subject7567	5
6633	subject6633	5
1187	subject1187	1
6740	subject6740	5
6003	subject6003	4
8140	subject8140	5
3835	subject3835	4
5726	subject5726	1
3812	subject3812	3
309	subject309	2
1029	subject1029	1
9586	subject9586	1
5092	subject5092	2
7086	subject7086	1
3760	subject3760	5
4558	subject4558	1
998	subject998	1
3070	subject3070	3
5952	subject5952	3
9014	subject9014	1
5606	subject5606	4
7133	subject7133	1
3343	subject3343	4
2273	subject2273	3
2086	subject2086	1
1705	subject1705	2
7488	subject7488	1
6118	subject6118	3
9707	subject9707	3
9540	subject9540	1
6717	subject6717	3
4562	subject4562	5
8345	subject8345	3
4747	subject4747	1
3160	subject3160	5
7160	subject7160	1
2885	subject2885	2
6333	subject6333	4
9613	subject9613	3
6185	subject6185	4
6899	subject6899	2
6916	subject6916	2
2854	subject2854	3
5397	subject5397	5
6214	subject6214	5
5620	subject5620	5
9050	subject9050	4
1222	subject1222	1
168	subject168	1
9128	subject9128	2
5428	subject5428	3
4227	subject4227	3
8395	subject8395	1
5951	subject5951	5
5139	subject5139	5
8569	subject8569	5
3213	subject3213	1
1757	subject1757	1
1483	subject1483	1
2555	subject2555	3
2275	subject2275	4
2128	subject2128	5
3173	subject3173	5
5999	subject5999	1
8265	subject8265	1
1553	subject1553	5
9634	subject9634	2
6520	subject6520	3
5056	subject5056	1
3422	subject3422	3
3031	subject3031	1
8492	subject8492	5
910	subject910	2
7091	subject7091	1
4973	subject4973	2
5036	subject5036	5
7255	subject7255	1
6987	subject6987	1
1685	subject1685	5
7035	subject7035	5
4886	subject4886	5
6743	subject6743	1
1078	subject1078	1
3655	subject3655	3
3252	subject3252	4
890	subject890	2
7312	subject7312	1
9895	subject9895	4
5312	subject5312	2
4905	subject4905	1
8274	subject8274	1
7862	subject7862	3
5725	subject5725	1
7446	subject7446	5
5885	subject5885	3
3276	subject3276	4
8965	subject8965	1
723	subject723	2
761	subject761	3
3131	subject3131	4
795	subject795	1
9327	subject9327	1
2387	subject2387	2
9020	subject9020	3
1787	subject1787	1
4816	subject4816	2
3344	subject3344	4
5609	subject5609	2
1377	subject1377	1
2009	subject2009	5
5619	subject5619	1
5597	subject5597	2
8894	subject8894	2
5256	subject5256	3
3579	subject3579	3
5776	subject5776	3
8608	subject8608	3
6833	subject6833	1
6810	subject6810	5
3696	subject3696	3
2569	subject2569	1
4994	subject4994	1
3430	subject3430	1
2797	subject2797	3
3401	subject3401	5
4172	subject4172	2
5498	subject5498	5
1520	subject1520	4
6769	subject6769	3
7126	subject7126	5
551	subject551	3
